post_id,title,category,score,num_comments,author,collected_at
47697895,Building a JavaScript runtime in one month,other,12,6,franciscop,2026-04-09 15:32:16
47657204,Show HN: We built a camera only robot vacuum for less than 300$ (Well almost),entertainment,103,57,indraneelpatil,2026-04-09 15:32:18
47685739,Revision Demoparty 2026: Razor1911 [video],other,370,124,tetrisgm,2026-04-09 15:32:23
47624572,A database of analog cameras that can be 3D printed,technology,161,26,thomasjb,2026-04-09 15:32:25
47699105,Show HN: Image to Music AI – Turn Any Photo into an Original Soundtrack,technology,4,2,airobus,2026-04-09 15:32:28
47682276,US and Iran agree to provisional ceasefire,other,593,1960,g-b-r,2026-04-09 15:32:30
47622717,Study investigates how mass distribution of baseball bat affects performance,science,23,17,Magi604,2026-04-09 15:32:33
47679258,System Card: Claude Mythos Preview [pdf],other,829,633,be7a,2026-04-09 15:32:35
47682719,Xilem – An experimental Rust native UI framework,other,138,83,Levitating,2026-04-09 15:32:37
47693047,Claude Managed Agents,other,158,70,adocomplete,2026-04-09 15:32:40
47675302,9 Mothers (YC P26) Is Hiring – Lead Robotics and More,other,1,0,ukd1,2026-04-09 15:32:42
47696558,Finetuning Activates Verbatim Recall of Copyrighted Books in LLMs,technology,12,3,guitarlimeo,2026-04-09 15:32:45
47637665,The Clock,other,98,42,senko,2026-04-09 15:32:47
47675372,Has electricity decoupled from natural gas prices in Germany?,other,139,205,konschubert,2026-04-09 15:32:50
47687464,Mario and Earendil,other,64,39,doppp,2026-04-09 15:32:52
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,610,253,zixuanlimit,2026-04-09 15:32:55
47684514,Protect your shed,other,306,79,baely,2026-04-09 15:32:57
47658104,The Image Boards of Hayao Miyazaki,other,200,16,vinhnx,2026-04-09 15:32:59
47690434,Iran demands Bitcoin fees for ships passing Hormuz during ceasefire,other,159,251,pavlov,2026-04-09 15:33:02
47654626,A whole boss fight in 256 bytes,other,124,50,HellMood,2026-04-09 15:33:05
47678573,Cambodia unveils statue to honour famous landmine-sniffing rat,other,475,126,speckx,2026-04-09 15:33:07
47663147,Launch HN: Freestyle – Sandboxes for Coding Agents,other,320,156,benswerd,2026-04-09 15:33:10
47673360,Show HN: Brutalist Concrete Laptop Stand (2024),entertainment,776,233,sam-bee,2026-04-09 15:33:12
47672295,Every GPU That Mattered,technology,328,203,jonbaer,2026-04-09 15:33:14
47646646,What does ⍋⍋ even mean? (2023),other,43,20,tosh,2026-04-09 15:33:16
47696263,Vera – A language designed for machines to write,other,10,1,joecobb,2026-04-09 15:33:19
47691686,Little Snitch for Linux,other,17,2,robenkleene,2026-04-09 15:33:21
47650887,How to get better at guitar,other,457,249,jwworth,2026-04-09 15:33:23
47697679,I built a tool to let you export your X bookmarks and categorize them,entertainment,15,7,xarchive,2026-04-09 15:33:26
47675893,A blind man made it possible for others with low vision to build Lego sets,other,87,14,speckx,2026-04-09 15:33:28
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,54,18,zdw,2026-04-09 15:33:30
47657268,A truck driver spent 20 years making a scale model of every building in NYC,other,395,67,1659447091,2026-04-09 15:33:32
47691466,Open Source Security at Astral,other,30,3,woodruffw,2026-04-09 15:33:36
47683376,JSIR: A High-Level IR for JavaScript,other,82,31,nnx,2026-04-09 15:33:38
47680404,S3 Files,other,370,111,werner,2026-04-09 15:33:40
47680124,IPv6 is the only way forward,worldnews,99,297,quaintdev,2026-04-09 15:33:44
47675155,You can't cancel a JavaScript promise (except sometimes you can),other,95,59,goodoldneon,2026-04-09 15:33:47
47664836,AI helps add 10k more photos to OldNYC,technology,142,50,evakhoury,2026-04-09 15:33:49
47681274,Bitcoin and quantum computing,other,166,129,nehan,2026-04-09 15:33:52
47692603,Pgfmt – a PostgreSQL specific SQL formatter,other,17,0,whalesalad,2026-04-09 15:33:55
47696210,AMD AI director says Claude Code is becoming dumber and lazier since update,technology,45,11,Logans_Run,2026-04-09 15:34:09
47697904,Claude Glass (Or Black Mirror),other,24,4,sram1337,2026-04-09 15:34:12
47681112,Show HN: An interactive map of Tolkien's Middle-earth,entertainment,283,66,frasermarlow,2026-04-09 15:34:14
47675625,Cloudflare targets 2029 for full post-quantum security,technology,380,112,ilreb,2026-04-09 15:34:16
